year,day,month,rate
1864,2,May,8.0
1864,5,May,9.0
1864,19,May,8.0
1864,26,May,7.0
1864,16,Jun,6.0
1864,25,Jul,7.0
1864,4,Aug,8.0
1864,8,Sep,9.0
1864,10,Nov,8.0
1864,24,Nov,7.0
1864,15,Dec,6.0
1865,12,Jan,5.5
1865,26,Jan,5.0
1865,2,Mar,4.5
1865,30,Mar,4.0
1865,4,May,4.5
1865,25,May,4.0
1865,1,Jun,3.5
1865,15,Jun,3.0
1865,27,Jul,3.5
1865,3,Aug,4.0
1865,28,Sep,4.5
1865,2,Oct,5.0
1865,5,Oct,6.0
1865,7,Oct,7.0
1865,23,Nov,6.0
1865,28,Dec,7.0
1866,4,Jan,8.0
1866,22,Feb,7.0
1866,15,Mar,6.0
1866,3,May,7.0
1866,8,May,8.0
1866,11,May,9.0
1866,12,May,10.0
1866,16,Aug,8.0
1866,23,Aug,7.0
1866,30,Aug,6.0
1866,6,Sep,5.0
1866,27,Sep,4.5
1866,8,Nov,4.0
1866,20,Dec,3.5
1867,7,Feb,3.0
1867,30,May,2.5
1867,25,Jul,2.0
1868,19,Nov,2.5
1868,3,Dec,3.0
1869,1,Apr,4.0
1869,6,May,4.5
1869,10,Jun,4.0
1869,24,Jun,3.5
1869,15,Jul,3.0
1869,19,Aug,2.5
1869,4,Nov,3.0
1870,21,Jul,3.5
1870,23,Jul,4.0
1870,28,Jul,5.0
1870,4,Aug,6.0
1870,11,Aug,5.5
1870,18,Aug,4.5
1870,25,Aug,4.0
1870,1,Sep,3.5
1870,15,Sep,3.0
1870,29,Sep,2.5
1871,2,Mar,3.0
1871,13,Apr,2.5
1871,15,Jun,2.25
1871,13,Jul,2.0
1871,21,Sep,3.0
1871,28,Sep,4.0
1871,7,Oct,5.0
1871,16,Nov,4.0
1871,30,Nov,3.5
1871,14,Dec,3.0
1872,4,Apr,3.5
1872,11,Apr,4.0
1872,9,May,5.0
1872,30,May,4.0
1872,13,Jun,3.5
1872,20,Jun,3.0
1872,18,Jul,3.5
1872,18,Sep,4.0
1872,26,Sep,4.5
1872,3,Oct,5.0
1872,10,Oct,6.0
1872,9,Nov,7.0
1872,28,Nov,6.0
1872,12,Dec,5.0
1873,9,Jan,4.5
1873,23,Jan,4.0
1873,30,Jan,3.5
1873,26,Mar,4.0
1873,7,May,4.5
1873,10,May,5.0
1873,17,May,6.0
1873,4,Jun,7.0
1873,12,Jun,6.0
1873,10,Jul,5.0
1873,17,Jul,4.5
1873,24,Jul,4.0
1873,31,Jul,3.5
1873,21,Aug,3.0
1873,25,Sep,4.0
1873,29,Sep,5.0
1873,14,Oct,6.0
1873,18,Oct,7.0
1873,1,Nov,8.0
1873,7,Nov,9.0
1873,20,Nov,8.0
1873,27,Nov,6.0
1873,4,Dec,5.0
1873,11,Dec,4.5
1874,8,Jan,4.0
1874,15,Jan,3.5
1874,30,Apr,4.0
1874,28,May,3.5
1874,4,Jun,3.0
1874,18,Jun,2.5
1874,30,Jul,3.0
1874,6,Aug,4.0
1874,20,Aug,3.5
1874,27,Aug,3.0
1874,15,Oct,4.0
1874,16,Nov,5.0
1874,30,Nov,6.0
1875,7,Jan,5.0
1875,14,Jan,4.0
1875,28,Jan,3.0
1875,18,Feb,3.5
1875,8,Jul,3.0
1875,29,Jul,2.5
1875,12,Aug,2.0
1875,7,Oct,2.5
1875,14,Oct,3.5
1875,21,Oct,4.0
1875,18,Nov,3.0
1875,30,Dec,4.0
1876,6,Jan,5.0
1876,27,Jan,4.0
1876,23,Mar,3.5
1876,6,Apr,3.0
1876,20,Apr,2.0
1877,3,May,3.0
1877,5,Jul,2.5
1877,12,Jul,2.0
1877,28,Aug,3.0
1877,4,Oct,4.0
1877,11,Oct,5.0
1877,29,Nov,4.0
1878,10,Jan,3.0
1878,31,Jan,2.0
1878,28,Mar,3.0
1878,30,May,2.5
1878,27,Jun,3.0
1878,4,Jul,3.2
1878,1,Aug,4.0
1878,12,Aug,5.0
1878,14,Oct,6.0
1878,21,Nov,5.0
1879,16,Jan,4.0
1879,30,Jan,3.0
1879,13,Mar,2.5
1879,10,Apr,2.0
1879,6,Nov,3.0
1880,17,Jun,2.5
1880,9,Dec,3.0
1881,13,Jan,3.5
1881,17,Feb,3.0
1881,28,Apr,2.5
1881,18,Aug,3.0
1881,25,Aug,4.0
1881,6,Oct,5.0
1882,30,Jan,6.0
1882,23,Feb,5.0
1882,9,Mar,4.0
1882,23,Mar,3.0
1882,17,Aug,4.0
1882,14,Sep,5.0
1883,25,Jan,4.0
1883,15,Feb,3.5
1883,1,Mar,3.0
1883,10,May,4.0
1883,13,Sep,3.5
1883,27,Sep,3.0
1884,7,Feb,3.5
1884,13,Mar,3.0
1884,3,Apr,2.5
1884,19,Jun,2.0
1884,9,Oct,3.0
1884,30,Oct,4.0
1884,6,Nov,5.0
1885,29,Jan,4.0
1885,19,Mar,3.5
1885,7,May,3.0
1885,14,May,2.5
1885,28,May,2.0
1885,12,Nov,3.0
1885,17,Dec,4.0
1886,21,Jan,3.0
1886,18,Feb,2.0
1886,6,May,3.0
1886,10,Jun,2.5
1886,26,Aug,3.5
1886,21,Oct,4.0
1886,16,Dec,5.0
1887,3,Feb,4.0
1887,10,Mar,3.5
1887,24,Mar,3.0
1887,14,Apr,2.5
1887,28,Apr,2.0
1887,4,Aug,3.0
1887,1,Sep,4.0
1888,12,Jan,3.5
1888,19,Jan,3.0
1888,16,Feb,2.5
1888,15,Mar,2.0
1888,10,May,3.0
1888,7,Jun,2.5
1888,9,Aug,3.0
1888,13,Sep,4.0
1888,4,Oct,5.0
1889,10,Jan,4.0
1889,24,Jan,3.5
1889,31,Jan,3.0
1889,18,Apr,2.5
1889,8,Aug,3.0
1889,29,Aug,4.0
1889,26,Sep,5.0
1889,30,Dec,6.0
1890,20,Feb,5.0
1890,6,Mar,4.5
1890,13,Mar,4.0
1890,10,Apr,3.5
1890,17,Apr,3.0
1890,26,Jun,4.0
1890,31,Jul,5.0
1890,21,Aug,4.0
1890,25,Sep,5.0
1890,7,Nov,6.0
1890,4,Dec,5.0
1891,8,Jan,4.0
1891,22,Jan,3.5
1891,29,Jan,3.0
1891,16,Apr,3.5
1891,7,May,4.0
1891,14,May,5.0
1891,4,Jun,4.0
1891,18,Jun,3.0
1891,2,Jul,2.5
1891,24,Sep,3.0
1891,29,Oct,4.0
1891,10,Dec,3.5
1892,21,Jan,3.0
1892,7,Apr,2.5
1892,28,Apr,2.0
1892,20,Oct,3.0
1893,26,Jan,2.5
1893,4,May,3.0
1893,11,May,3.5
1893,18,May,4.0
1893,8,Jun,3.0
1893,15,Jun,2.5
1893,3,Aug,3.0
1893,10,Aug,4.0
1893,24,Aug,5.0
1893,14,Sep,4.0
1893,21,Sep,3.5
1893,5,Oct,3.0
1894,1,Feb,2.5
1894,22,Feb,2.0
1896,10,Sep,2.5
1896,24,Sep,3.0
1896,22,Oct,4.0
1897,21,Jan,3.5
1897,4,Feb,3.0
1897,8,Apr,2.5
1897,13,May,2.0
1897,23,Sep,2.5
1897,14,Oct,3.0
1898,6,Apr,4.0
1898,25,May,3.5
1898,2,Jun,3.0
1898,30,Jun,2.5
1898,22,Sep,3.0
1898,13,Oct,4.0
1899,19,Jan,3.5
1899,2,Feb,3.0
1899,13,Jul,3.5
1899,3,Oct,4.5
1899,5,Oct,5.0
1899,30,Nov,6.0
1900,11,Jan,5.0
1900,18,Jan,4.5
1900,25,Jan,4.0
1900,24,May,3.5
1900,14,Jun,3.0
1900,19,Jul,4.0
1901,3,Jan,5.0
1901,7,Feb,4.5
1901,21,Feb,4.0
1901,6,Jun,3.5
1901,13,Jun,3.0
1901,21,Oct,4.0
1902,23,Jan,3.5
1902,6,Feb,3.0
1902,2,Oct,4.0
1903,21,May,3.5
1903,18,Jun,3.0
1903,3,Sep,4.0
1904,14,Apr,3.5
1904,21,Apr,3.0
1905,9,Mar,2.5
1905,7,Sep,3.0
1905,28,Sep,4.0
1906,5,Apr,3.5
1906,3,May,4.0
1906,21,Jun,3.5
1906,13,Sep,4.0
1906,11,Oct,5.0
1906,19,Oct,6.0
1907,17,Jan,5.0
1907,11,Apr,4.5
1907,25,Apr,4.0
1907,15,Aug,4.5
1907,31,Oct,5.5
1907,4,Nov,6.0
1907,7,Nov,7.0
1908,2,Jan,6.0
1908,16,Jan,5.0
1908,23,Jan,4.0
1908,5,Mar,3.5
1908,19,Mar,3.0
1908,28,May,2.5
1909,14,Jan,3.0
1909,1,Apr,2.5
1909,7,Oct,3.0
1909,14,Oct,4.0
1909,21,Oct,5.0
1909,9,Dec,4.5
1910,6,Jan,4.0
1910,20,Jan,3.5
1910,10,Feb,3.0
1910,17,Mar,4.0
1910,2,Jun,3.5
1910,9,Jun,3.0
1910,29,Sep,4.0
1910,20,Oct,5.0
1910,1,Dec,4.5
1911,26,Jan,4.0
1911,16,Feb,3.5
1911,9,Mar,3.0
1911,21,Sep,4.0
1912,8,Feb,3.5
1912,9,May,3.0
1912,29,Aug,4.0
1912,17,Oct,5.0
1913,17,Apr,4.5
1913,1,Oct,5.0
1914,8,Jan,4.5
1914,22,Jan,4.0
1914,29,Jan,3.0
1914,30,Jul,4.0
1914,31,Jul,8.0
1914,1,Aug,10.0
1914,6,Aug,6.0
1914,8,Aug,5.0
1916,13,Jul,6.0
1917,18,Jan,5.5
1917,5,Apr,5.0
1919,6,Nov,6.0
1920,15,Apr,7.0
1921,28,Apr,6.5
1921,23,Jun,6.0
1921,21,Jul,5.5
1921,3,Nov,5.0
1922,16,Feb,4.5
1922,13,Apr,4.0
1922,15,Jun,3.5
1922,13,Jul,3.0
1923,5,Jul,4.0
1925,5,Mar,5.0
1925,6,Aug,4.5
1925,1,Oct,4.0
1925,3,Dec,5.0
1927,21,Apr,4.5
1929,7,Feb,5.5
1929,26,Sep,6.5
1929,31,Oct,6.0
1929,21,Nov,5.5
1929,12,Dec,5.0
1930,6,Feb ,4.5
1930,6,Mar,4.0
1930,20,Mar,3.5
1930,1,May,3.0
1931,14,May,2.5
1931,23,Jul,3.5
1931,30,Jul,4.5
1931,21,Sep,6.0
1932,18,Feb,5.0
1932,10,Mar,4.0
1932,17,Mar,3.5
1932,21,Apr,3.0
1932,12,May,2.5
1932,30,Jun,2.0
1939,24,Aug,4.0
1939,28,Sep,3.0
1939,26,Oct,2.0
1951,8,Nov,2.5
1952,11,Mar,4.0
1953,17,Sep,3.5
1954,13,May,3.0
1955,27,Jan,3.5
1955,24,Feb,4.5
1956,16,Feb,5.5
1957,7,Feb,5.0
1957,19,Sep,7.0
1958,20,Mar,6.0
1958,22,May,5.5
1958,19,Jun,5.0
1958,14,Aug,4.5
1958,20,Nov,4.0
1960,21,Jan,5.0
1960,23,Jun,6.0
1960,27,Oct,5.5
1960,8,Dec,5.0
1961,26,Jul,7.0
1961,5,Oct,6.5
1961,2,Nov,6.0
1962,8,Mar,5.5
1962,22,Mar,5.0
1962,26,Apr,4.5
1963,3,Jan,4.0
1964,27,Feb,5.0
1964,23,Nov,7.0
1965,3,Jun,6.0
1966,14,Jul,7.0
1967,26,Jan,6.5
1967,16,Mar,6.0
1967,4,May,5.5
1967,19,Oct,6.0
1967,9,Nov,6.5
1967,18,Nov,8.0
1968,21,Mar,7.5
1968,19,Sep,7.0
1969,27,Feb,8.0
1970,5,Mar,7.5
1970,15,Apr,7.0
1971,1,Apr,6.0
1971,2,Sep,5.0
1972,22,Jun,6.0
1972,16,Oct,7.25
1972,30,Oct,7.5
1972,4,Dec,7.75
1972,11,Dec,8.0
1972,27,Dec,9.0
1973,22,Jan,8.75
1973,26,Mar,8.5
1973,16,Apr,8.0
1973,24,Apr,8.25
1973,14,May,8.0
1973,21,May,7.75
1973,25,Jun,7.5
1973,23,Jul,9.0
1973,30,Jul,11.5
1973,22,Oct,11.25
1973,13,Nov,13.0
1974,7,Jan,12.75
1974,4,Feb,12.5
1974,8,Apr,12.25
1974,16,Apr,12.0
1974,28,May,11.75
1974,23,Sep,11.5
1975,20,Jan,11.25
1975,27,Jan,11.0
1975,10,Feb,10.75
1975,17,Feb,10.5
1975,10,Mar,10.25
1975,24,Mar,10.0
1975,21,Apr,9.75
1975,5,May,10.0
1975,28,Jul,11.0
1975,6,Oct,12.0
1975,17,Nov,11.75
1975,1,Dec,11.5
1975,29,Dec,11.25
1976,5,Jan,11.0
1976,19,Jan,10.75
1976,26,Jan,10.5
1976,2,Feb,10.0
1976,9,Feb,9.5
1976,1,Mar,9.25
1976,8,Mar,9.0
1976,26,Apr,10.5
1976,24,May,11.5
1976,13,Sep,13.0
1976,7,Oct,15.0
1976,22,Nov,14.75
1976,20,Dec,14.5
1976,29,Dec,14.25
1977,10,Jan,14.0
1977,24,Jan,13.25
1977,31,Jan,12.25
1977,3,Feb,12.0
1977,10,Mar,11.0
1977,21,Mar,10.5
1977,31,Mar,9.5
1977,12,Apr,9.25
1977,18,Apr,9.0
1977,25,Apr,8.75
1977,2,May,8.25
1977,16,May,8.0
1977,8,Aug,7.5
1977,15,Aug,7.0
1977,12,Sep,6.5
1977,19,Sep,6.0
1977,10,Oct,5.5
1977,17,Oct,5.0
1977,28,Nov,7.0
1978,9,Jan,6.5
1978,12,Apr,7.5
1978,8,May,8.75
1978,15,May,9.0
1978,8,Jun,10.0
1978,9,Nov,12.5
1979,8,Feb,14.0
1979,1,Mar,13.0
1979,5,Apr,12.0
1979,13,Jun,14.0
1979,15,Nov,17.0
1980,3,Jul,16.0
1980,25,Nov,14.0
1981,11,Mar,12.0
1981,25,Aug,12.6875
1981,15,Sep,14.0
1981,12,Oct,15.0
1981,28,Oct,15.125
1981,6,Nov,15.0625
1981,9,Nov,14.625
1981,25,Nov,14.5625
1981,4,Dec,14.375
1982,18,Jan,14.3125
1982,19,Jan,14.25
1982,20,Jan,14.125
1982,21,Jan,14.0
1982,22,Jan,13.875
1982,22,Feb,13.8125
1982,25,Feb,13.625
1982,10,Mar,13.25
1982,16,Apr,13.125
1982,19,Apr,13.0
1982,20,Apr,13.125
1982,8,Jun,12.625
1982,9,Jul,12.5
1982,12,Jul,12.25
1982,13,Jul,12.125
1982,21,Jul,12.0625
1982,26,Jul,11.9375
1982,28,Jul,11.8125
1982,29,Jul,11.75
1982,30,Jul,11.625
1982,2,Aug,11.5625
1982,4,Aug,11.5
1982,16,Aug,11.375
1982,17,Aug,11.25
1982,24,Aug,11.125
1982,25,Aug,11.0
1982,26,Aug,10.875
1982,27,Aug,10.625
1982,27,Sep,10.5
1982,28,Sep,10.375
1982,29,Sep,10.25
1982,30,Sep,10.125
1982,12,Oct,9.625
1982,1,Nov,9.375
1982,2,Nov,9.125
1982,26,Nov,10.0
1983,12,Jan,11.0
1983,15,Mar,10.5625
1983,13,Apr,10.3125
1983,14,Apr,10.0625
1983,13,Jun,9.8125
1983,14,Jun,9.5625
1983,9,Aug,9.4375
1983,10,Aug,9.5625
1983,3,Oct,9.0625
1984,7,Mar,8.8125
1984,14,Mar,8.5625
1984,10,may,9.0625
1984,29,Jun,8.875
1984,6,Jul,10.0
1984,11,Jul,12.0
1984,8,Aug,11.5
1984,9,Aug,11.0
1984,16,Aug,10.75
1984,17,Aug,10.5
1984,5,Nov,10.0
1984,19,Nov,9.75
1984,23,Nov,9.5
1985,14,Jan,11.875
1985,28,Jan,13.875
1985,20,Mar,13.375
1985,28,Mar,12.875
1985,19,Apr,12.375
1985,11,Jul,11.875
1985,26,Jul,11.375
1986,15,Jan,12.375
1986,19,Mar,11.375
1986,11,Apr,10.875
1986,18,Apr,10.375
1986,23,May,9.875
1986,15,Oct,10.875
1987,9,Mar,10.375
1987,18,Mar,9.875
1987,28,Apr,9.375
1987,8,May,8.875
1987,6,Aug,9.875
1987,23,Oct,9.375
1987,4,Nov,8.875
1987,3,Dec,8.375
1988,1,Feb,8.875
1988,17,Mar,8.375
1988,8,Apr,7.875
1988,17,May,7.375
1988,3,Jun,7.875
1988,10,Jun,8.375
1988,24,Jun,8.875
1988,7,Jul,9.875
1988,21,Jul,10.375
1988,8,Aug,10.875
1988,25,Aug,11.875
1988,25,Nov,12.875
1989,25,May,13.75
1989,31,Aug,13.8438
1989,4,Sep,13.875
1989,8,Sep,13.75
1989,6,Oct,14.875
1990,8,Oct,13.875
1991,13,Feb,13.375
1991,27,Feb,12.875
1991,22,Mar,12.375
1991,12,Apr,11.875
1991,24,May,11.375
1991,12,Jul,10.875
1991,4,Sep,10.375
1992,5,May,9.875
1992,22,Sep,8.875
1992,16,Oct,7.875
1992,13,Nov,6.875
1993,26,Jan,5.875
1993,23,Nov,5.375
1994,8,Feb,5.125
1994,12,Sep,5.625
1994,7,Dec,6.125
1995,2,Feb,6.625
1995,13,Dec,6.375
1996,18,Jan,6.125
1996,8,Mar,5.9375
1996,6,Jun,5.6875
1996,30,Oct,5.9375
1997,6,May,6.25
1997,6,Jun,6.5
1997,10,Jul,6.75
1997,7,Aug,7.0
1997,6,Nov,7.25
1998,4,Jun,7.5
1998,8,Oct,7.25
1998,5,Nov,6.75
1998,10,Dec,6.25
1999,7,Jan,6.0
1999,4,Feb,5.5
1999,8,Apr,5.25
1999,10,Jun,5.0
1999,8,Sep,5.25
1999,4,Nov,5.5
2000,13,Jan,5.75
2000,10,Feb,6.0
2001,8,Feb,5.75
2001,5,Apr,5.5
2001,10,May,5.25
2001,2,Aug,5.0
2001,18,Sep,4.75
2001,4,Oct,4.5
2001,8,Nov,4.0
2003,6,Feb,3.75
2003,10,Jul,3.5
2003,6,Nov,3.75
2004,5,Feb,4.0
2004,6,May,4.25
2004,10,Jun,4.5
2004,5,Aug,4.75
2005,4,Aug,4.5
2006,3,Aug,4.75
2006,9,Nov,5.0
2007,11,Jan,5.25
2007,10,May,5.5
2007,5,Jul,5.75
2007,6,Dec,5.5
2008,7,Feb,5.25
2008,10,Apr,5.0
2008,8,Oct,4.5
2008,6,Nov,3.0
2008,4,Dec,2.0
2009,8,Jan,1.5
2009,5,Feb,1.0
2009,5,Mar,0.5
2016,4,Aug,0.25
2017,2,Nov,0.5
2018,2,Aug ,0.75
2020,11,Mar,0.25
2020,19,Mar,0.1
2021,16,Dec,0.25
2022,3,Feb,0.5
2022,17,Mar,0.75
2022,5,May,1.0
2022,16,Jun,1.25
2022,4,Aug,1.75
2022,22,Sep,2.25
2022,3,Nov,3.0
2022,15,Dec,3.5
2023,2,Feb,4.0
2023,23,Mar,4.25
2023,11,May,4.5
2023,22,Jun,5.0
2023,3,Aug,5.25
2024,1,Aug,5.0
2024,7,Nov,4.75
2025,6,Feb,4.5
2025,8,May,4.25
2025,7,Aug,4.0
